date,open,high,low,close,adjustedClose,volume,amount,logReturnPct,simpleReturnPct,realizedVol20Pct,realizedVol60Pct,downsideVol20Pct,changeInVol20Pct,forwardVol20Pct,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct
,134.85,134.87,134.28,134.87,134.87,3427,2003000,0.438418,0.43938,6.713315,,0.542083,-0.048605,5.925272,-1.750232,-9.522121,-22.384818
,134.37,134.87,134.33,134.4,134.4,810,621000,-0.349092,-0.348484,6.648649,,0.544015,-0.064666,5.912104,-1.809427,-9.581626,-21.121719
,133.9,134.44,133.9,133.93,133.93,1094,2545000,-0.350315,-0.349702,6.582085,,0.504121,-0.066563,5.898599,-1.861465,-9.641585,-21.287391
,133.44,133.98,133.44,133.47,133.47,214,141000,-0.344054,-0.343463,6.483254,,0.265496,-0.098832,5.882427,-1.913753,-9.709494,-20.179518
,132.99,133.52,132.98,133.01,133.01,2258,1187000,-0.345242,-0.344647,6.443661,,0.224587,-0.039593,5.864446,-1.974098,-9.786211,-18.921694
,132.53,132.53,132.47,132.53,132.53,7124,3777000,-0.361528,-0.360875,6.416753,,0.11775,-0.026908,5.868285,-2.01211,-9.773521,-18.03466
,132.09,132.09,131.98,131.99,131.99,2518,1418000,-0.408287,-0.407455,6.46187,,0.311748,0.045117,6.745969,-2.051354,-8.916951,-16.708852
,131.42,131.99,131.41,131.46,131.46,982,934000,-0.402354,-0.401546,6.506294,,0.383213,0.044425,7.380847,-2.067476,-8.117804,-15.352964
,130.89,130.95,130.89,130.94,130.94,719,1345000,-0.396342,-0.395558,6.543346,,0.412757,0.037052,7.931435,-3.726753,-7.309804,-14.012095
,130.41,130.94,130.41,130.41,130.41,568,427000,-0.405587,-0.404766,6.580952,,0.453745,0.037606,8.038972,-3.734225,-6.896001,-12.723056
,129.84,130.41,129.84,129.89,129.89,933,541000,-0.39954,-0.398742,6.635006,,0.447109,0.054054,8.065798,-3.701513,-6.644451,-11.33564
,129.3,129.89,129.3,129.31,129.31,514,299000,-0.447532,-0.446532,6.593011,,0.544399,-0.041995,8.055851,-3.622158,-6.567855,-9.901357
,128.73,129.31,128.73,128.77,128.77,957,783000,-0.418476,-0.417601,6.490709,,0.544317,-0.102301,8.052147,-3.597368,-6.538276,-8.59036
,126.13,128.77,126.13,126.15,126.15,498,418000,-2.055619,-2.034635,9.336479,,7.37078,2.84577,4.835725,-1.993581,-4.864749,-5.541132
,125.61,126.15,125.61,125.63,125.63,326,242000,-0.41306,-0.412208,9.192216,,7.094592,-0.144263,4.845881,-2.018159,-4.885385,-4.194032
,125.08,125.62,125.08,125.17,125.17,790,403000,-0.366827,-0.366155,8.868318,,6.860596,-0.323898,4.84367,-2.058267,-4.878617,-2.836035
,124.7,125.17,124.69,124.71,124.71,1250,1210000,-0.368177,-0.3675,8.4491,21.691609,6.647834,-0.419219,4.844219,-2.098687,-4.880219,-1.47014
,124.23,124.71,124.22,124.22,124.22,892,682000,-0.393685,-0.392912,7.965144,20.120964,6.447301,-0.483955,4.832756,-2.115276,-4.849235,-0.088592
,123.66,124.21,123.63,123.66,123.66,678,433000,-0.451832,-0.450813,7.457939,18.218469,6.255949,-0.507205,4.795231,-2.075407,-4.769906,1.349418
,123.14,123.66,123.12,123.12,123.12,151,131000,-0.437637,-0.436681,6.757527,15.485351,6.081844,-0.700412,4.768746,-2.059729,-4.714678,1.138716
,122.62,123.12,122.62,122.62,122.62,207,120000,-0.406935,-0.406108,5.925272,11.967195,5.925272,-0.832256,4.736148,-2.001632,-4.623268,2.53647
,122.12,122.62,122.1,122.12,122.12,443,324000,-0.408597,-0.407764,5.912104,8.502513,5.912104,-0.013168,4.725191,-1.144752,-4.599764,3.941911
