date,close,deviation60Pct,signal60,deviation200Pct,signal200,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
1973-04-05,112.019997,-10.189579,bottom,-13.812817,,3.137202,-1.013868,-11.200832,3.186931,-3.722548
1973-05-18,102.889999,-10.971104,bottom,-20.08735,bottom,2.191762,-2.081979,0.678031,2.215958,-2.070169
1973-05-21,100.760002,-12.749268,bottom,-22.069114,bottom,3.978927,0.198292,2.53798,4.376733,0.009919
1973-05-22,101.589996,-11.641937,bottom,-21.138061,bottom,1.56269,-0.394511,1.678908,3.523971,-0.807166
1973-05-23,102.089996,-10.892018,bottom,-20.534602,bottom,0.537297,-1.669252,1.574379,3.016948,-1.655397
1973-05-30,103.190002,-8.891877,,-19.040047,bottom,-1.45447,-2.920419,-0.641655,1.550536,-3.643766
1973-05-31,102.639999,-9.141138,,-19.461457,bottom,-0.068223,-1.452426,-0.234099,2.094701,-3.127435
1973-06-01,102.300003,-9.176407,,-19.675378,bottom,1.378527,-1.298719,0.594515,2.434015,-2.805477
1973-06-04,100.769997,-10.365621,bottom,-21.058033,bottom,2.227661,-0.617158,2.179122,3.989287,-1.329757
1973-06-05,101.709999,-9.134276,,-20.009801,bottom,2.983274,-2.247064,2.024402,3.028219,-2.241666
1973-06-06,101.699997,-8.842142,,-19.899797,bottom,2.55317,-2.297577,2.226745,3.038352,-2.271384
1973-06-18,100.769997,-7.718678,,-19.922215,bottom,-1.338678,3.768522,4.425764,3.840432,-1.369453
1973-06-19,100.959999,-7.307899,,-19.617988,bottom,-0.995429,4.65425,4.493397,4.764261,-1.555071
1973-06-20,101.190002,-6.859901,,-19.273995,bottom,-0.963218,5.133277,4.709929,5.267313,-1.778835
1973-06-21,100.400002,-7.389758,,-19.93728,bottom,0.754124,7.000165,5.682077,7.250995,-1.005978
1973-06-22,100.989998,-6.554525,,-19.230067,bottom,-0.009897,6.479225,5.124383,6.693734,-1.584314
1973-06-25,99.43,-7.820904,,-20.660525,bottom,0.72152,8.535894,8.18437,8.910792,-0.04023
1973-06-26,99.959999,-7.017643,,-20.007479,bottom,-0.511512,8.831941,8.437354,9.233697,-0.570228
1973-06-27,100.220001,-6.515571,,-19.628926,bottom,-0.831628,8.55385,8.81914,8.95031,-0.82818
1973-07-02,100.150002,-6.005863,,-19.360891,bottom,1.023203,8.137058,9.943185,9.196205,-0.758864
1973-07-03,99.449997,-6.490456,,-19.946803,bottom,3.205979,7.438805,11.230468,9.96481,-0.060329
1973-07-05,99.389999,-6.320923,,-19.890983,bottom,3.73266,7.359043,11.227886,10.031192,0.090556
1973-07-06,99.480003,-5.988794,,-19.684165,bottom,3.506354,7.118852,10.930325,9.931641,0.532769
1973-07-09,100.010002,-5.216031,,-19.03881,bottom,3.883221,6.951932,11.108353,9.349063,1.169881
1973-11-20,96.580002,-11.596517,bottom,-12.635527,,-1.712656,-6.789894,-5.973196,0.766202,-7.724165
1973-11-21,97.32,-10.746065,bottom,-11.74592,,-2.813562,-7.519937,-6.912499,-0.020547,-8.425809
1973-11-23,97.300003,-10.666744,bottom,-11.644558,,-3.973062,-8.333699,-6.080455,-2.425489,-8.406989
1973-11-26,94.129997,-13.827047,bottom,-14.811547,,-2.321433,-5.975518,-2.10421,0.860518,-5.800488
1973-11-27,93.07,-14.777419,bottom,-15.789048,,-1.635743,-3.143331,-0.150537,2.009243,-4.727626
1973-11-28,94.940002,-12.624835,bottom,-13.651662,,-5.643994,-3.964215,-2.366093,-0.337055,-6.604175
1973-11-29,94.620003,-12.785758,bottom,-13.847677,,-3.604679,-3.156464,-1.60873,-1.14141,-6.288316
1973-11-30,93.510002,-13.766431,bottom,-14.885364,,-1.280761,-1.421671,0.586445,0.032081,-5.175921
1973-12-03,91.970001,-15.193009,bottom,-16.395734,,1.692671,0.607045,2.554881,1.707078,-3.58813
1973-12-04,91.559998,-15.410858,bottom,-16.688061,,0.696563,2.821338,2.683212,2.861515,-3.1564
1973-12-05,89.730003,-17.179195,bottom,-18.548713,,1.196419,4.755283,4.435969,4.959319,-1.181327
1973-12-06,91.269997,-15.25733,bottom,-16.696887,,-2.38383,3.446023,3.699747,3.506086,-2.848689
1973-12-07,92.32,-13.905055,bottom,-15.413753,,-2.957074,1.824669,2.987848,2.328858,-3.953641
1973-12-10,93.540001,-12.395184,bottom,-13.972103,,-4.829321,-1.442906,1.052807,0.994227,-5.206332
1973-12-11,92.199997,-13.616376,bottom,-15.286634,,-1.794751,-0.849584,3.170465,2.462044,-3.828632
1973-12-12,90.809998,-14.890786,bottom,-16.667845,,-0.629662,1.551611,5.422375,4.030397,-2.356568
1973-12-13,89.120003,-16.471754,bottom,-18.404571,,1.282134,3.614319,7.227891,6.00314,-0.504942
1973-12-14,89.629997,-15.597242,bottom,-17.691586,,-0.122803,3.766184,7.208976,5.399982,-1.071069
1973-12-17,89.129997,-15.832687,bottom,-18.104033,,-0.517435,5.839804,7.95507,6.013689,-0.516099
1973-12-18,90.559998,-13.935219,bottom,-16.365518,,-0.4094,5.78146,6.384124,5.951855,-2.087014
1973-12-19,90.239998,-13.975554,bottom,-16.569194,,1.113023,5.476688,5.529133,6.32757,-1.739805
1973-12-20,90.269997,-13.614953,bottom,-16.386363,,1.549911,4.558307,4.84367,6.292235,-1.772459
1973-12-21,89.519997,-14.098191,bottom,-17.067892,,2.938966,6.246286,5.888838,7.182753,-0.949507
1973-12-24,88.669998,-14.687267,bottom,-17.865523,,4.261131,7.692349,7.273762,8.210216,1.714226
1973-12-26,90.190002,-12.649763,bottom,-16.015259,,4.328926,5.835884,5.668393,6.386511,1.175294
1973-12-27,91.25,-11.146785,bottom,-14.700994,,3.075504,4.44756,4.395132,5.150682,0.186299
1973-12-28,91.68,-10.341982,bottom,-14.089236,,2.997808,3.57831,3.841067,4.657501,-0.283597
1974-05-17,81.93,-10.33409,bottom,-17.744475,,-0.587593,-0.477152,-17.437083,2.4289,-2.624193
1974-05-20,81.43,-10.735042,bottom,-18.226782,,-0.455417,-0.221294,-19.132674,3.057838,-2.026282
1974-05-21,81.290001,-10.696765,bottom,-18.266132,,-1.875019,-0.778018,-19.512309,3.235327,-1.85755
1974-05-22,80.720001,-11.171908,bottom,-18.833507,,-0.783543,-1.083654,-20.34551,3.964317,-1.164522
1974-05-23,80.550003,-11.132959,bottom,-18.912996,,-0.435467,-1.803885,-21.249292,4.183731,-1.787712
1974-05-28,81.059998,-10.021409,bottom,-18.029995,,0.87208,-2.132116,-22.203388,3.528252,-2.689366
1974-05-29,79.779999,-11.351968,bottom,-19.49504,bottom,3.000411,-1.910849,-22.68166,5.18927,-1.892708
1974-05-30,80.089996,-10.691136,bottom,-18.98596,bottom,3.809635,-4.155574,-24.686503,4.782123,-4.070414
1974-05-31,80.199997,-10.274491,bottom,-18.729104,,4.283496,-5.43166,-24.234161,4.638406,-5.286781
1974-06-26,78.269997,-8.080903,,-19.042134,bottom,-6.070438,-6.274286,-26.748781,-1.839779,-10.795959
1974-06-27,76.830002,-9.63883,,-20.74844,bottom,-4.335788,-5.346723,-25.293344,-1.132374,-9.124043
1974-06-28,75.959999,-10.458613,bottom,-21.7304,bottom,-6.809055,-6.064932,-25.538498,-0.750395,-8.083201
1974-07-01,75.389999,-10.885421,bottom,-22.320987,bottom,-6.578619,-5.577826,-24.921331,-1.008094,-7.388247
1974-07-02,73.809998,-12.668023,bottom,-24.26667,bottom,-5.557369,-5.314185,-24.329509,1.11096,-5.405769
1974-07-03,73.660004,-12.547449,bottom,-24.296476,bottom,-5.16793,-5.626449,-25.430566,1.316852,-5.471092
1974-07-05,73.57,-12.337653,bottom,-24.235753,bottom,-2.602556,-5.835044,-27.879596,1.440801,-5.668069
