date,close,deviation60Pct,signal60,deviation200Pct,signal200,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
2006-05-09,1251.61,15.480097,top,26.552677,,6.159748,11.142704,2.403744,12.108404,0.274047
2006-05-10,1265.93,16.256385,top,27.471113,,5.35137,4.199893,0.720973,10.840252,-0.860237
2006-05-12,1296.26,17.85349,top,29.373153,,5.247677,-0.159818,-4.283268,8.246802,-0.15969
2006-05-15,1352.16,21.584004,top,33.336613,,1.578268,-4.113297,-9.949743,3.771743,-4.287215
2006-05-16,1331.13,19.56995,top,31.519165,,-1.017836,-2.498789,-6.097448,5.411192,-2.775086
2006-05-17,1335.52,19.452735,top,31.598575,,-2.063801,-3.943399,-6.513772,5.064694,-3.866659
2006-05-18,1331.2,18.658273,top,31.023174,,-1.781092,-3.501862,-4.590708,5.405649,-3.554687
2006-05-19,1366.1,20.725902,top,33.338393,,-2.60144,-3.583694,-6.850411,2.712832,-6.018593
2006-05-22,1373.67,20.751502,top,33.616516,,-0.538695,-2.86371,-9.777231,2.146804,-6.536504
2006-05-23,1317.65,16.172431,top,29.211211,,4.53347,1.549053,-4.009811,6.489584,-2.562896
2006-05-26,1331.02,15.972666,top,29.518678,,4.344451,0.631352,-4.860724,5.419904,-3.541645
2006-05-29,1366.29,18.121289,top,31.887152,,2.66278,-0.211012,-7.264129,2.698549,-6.031662
2006-05-30,1378.76,18.55466,top,32.551978,,1.467322,-1.08363,-7.021573,1.769706,-6.881546
2006-05-31,1365.45,17.136188,top,31.3439,,-3.367808,-0.18766,-6.019628,2.761727,-5.973855
2006-06-01,1402.88,19.314247,top,33.790691,,-5.637546,-0.554683,-8.202631,0.019959,-8.48255
2006-06-02,1390.12,17.89963,top,32.628181,,-7.150506,0.275854,-7.053967,0.938049,-7.642506
2006-06-05,1403.16,18.312293,top,33.313162,,-7.815649,1.21624,-5.66429,1.223667,-8.500812
2006-06-06,1399.14,17.478864,top,32.783131,,-7.481745,0.8448,-5.055853,1.514502,-8.237918
2006-11-30,1714.36,16.393462,top,28.143797,,3.516051,14.402166,38.533414,15.662988,-0.16216
