date,close,deviation60Pct,signal60,deviation200Pct,signal200,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
1950-06-12,19.4,6.713522,top,13.87556,top,-2.505348,-11.341116,-4.534244,-0.773194,-10.721649
1950-07-12,16.870001,-8.48099,bottom,-1.870943,,2.86318,9.816216,16.468012,10.314165,-1.126263
1950-07-13,16.690001,-9.432014,bottom,-2.980888,,5.365719,10.187927,18.690462,11.503895,-0.059917
1950-07-14,16.870001,-8.25201,bottom,-1.947999,,4.179362,8.027066,17.019533,10.314165,-1.126263
1950-07-17,16.68,-9.270887,bottom,-3.112911,,4.684693,9.21441,17.046095,11.570745,2.278172
1950-07-18,17.059999,-6.936278,bottom,-0.904749,,0.991551,7.125683,15.197118,9.085587,0.996483
1950-09-18,19.370001,6.637814,top,8.84251,,0.257795,2.649154,0.309276,3.871967,-1.187411
1950-09-21,19.370001,6.387107,top,8.587628,,0.257795,3.00047,3.00047,3.871967,-1.187411
1950-09-22,19.440001,6.625927,top,8.862606,,0.051428,2.63974,2.689829,3.497944,-1.543216
1950-10-02,19.690001,6.958255,top,9.653441,,1.562135,-0.815914,3.68935,2.183851,-0.812594
1950-10-03,19.66,6.618108,top,9.417653,,0.608525,-0.509947,5.492355,2.339781,-0.661237
1950-10-04,20,8.090279,top,11.03898,,-0.702458,-1.359198,3.391824,0.600004,-2.349997
1950-10-05,19.889999,7.266256,top,10.395373,,-0.201304,-0.201304,4.80957,1.156367,-1.809948
1950-10-06,20.120001,8.107389,top,11.445023,,-2.058831,-3.850527,3.659837,-0.198812,-3.777337
1950-10-09,20,7.228398,top,10.749056,,-0.551521,-2.224564,4.879016,0.4,-3.199997
1951-01-16,21.459999,6.987526,top,12.599491,,-0.936331,3.029152,2.893433,3.448284,-2.00372
1951-01-17,21.549999,7.27869,top,12.905745,,-1.826318,2.066667,2.248324,3.016248,-2.412986
1951-01-18,21.4,6.460496,top,12.09882,,-1.744088,3.354321,3.173412,3.738323,-1.728967
1951-01-29,21.67,6.861388,top,12.698421,,2.41635,0.598112,2.236004,2.445781,-0.046148
1951-01-30,21.74,7.00448,top,12.922472,,1.732834,0.504707,2.946053,2.11592,-0.367985
1951-01-31,21.66,6.477246,top,12.45702,,1.512056,1.238834,3.493213,2.493079,0.461682
1951-02-01,21.77,6.826312,top,12.861928,,1.459213,0.091829,3.431489,1.975197,-0.045936
1951-02-02,21.959999,7.482394,top,13.628298,top,0.951745,-0.777138,2.961193,1.092904,-0.910742
1951-02-05,22.200001,8.35367,top,14.607045,top,-0.090133,-1.543381,2.710669,-0.090092,-1.981984
1951-02-06,22.120001,7.802674,top,14.136883,top,0,-0.771504,2.896169,0.271245,-1.627489
1951-02-07,21.99,7.046377,top,13.442569,top,0.045466,-0.182062,2.868863,0.864032,-1.045928
1951-02-08,22.09,7.331086,top,13.785555,top,0.180909,-1.781273,2.326729,0.407425,-1.765502
1951-02-09,22.17,7.505218,top,14.034364,top,-1.545486,-3.488193,2.09782,0.045107,-3.428057
1951-02-13,22.18,7.359252,top,13.964823,top,-1.77398,-4.28341,1.476867,-0.225433,-4.192968
1951-02-14,22.120001,6.894447,top,13.583581,top,-1.18237,-3.824469,0.944885,0.0452,-3.933096
1951-02-16,22.129999,6.589905,top,13.423135,top,-0.907854,-2.609439,-1.686068,-0.813368,-3.976499
1953-09-14,22.709999,-6.243789,bottom,-9.800065,,0.745781,3.716939,8.642414,4.183183,0.748569
1954-05-26,29.17,5.595927,,13.380765,top,-0.068589,0.308062,6.759774,0.308537,-3.496745
1954-07-09,30.139999,4.735455,,13.592878,top,-0.265781,0.79313,7.446345,2.820174,-0.995352
1954-07-12,30.120001,4.537554,,13.389005,top,-0.465895,0,8.004271,2.888443,-0.929617
1954-07-28,30.58,4.463188,,13.370892,top,1.040997,0.228645,4.944401,2.060167,-1.504248
1954-07-29,30.690001,4.685006,,13.597913,top,0.260332,-0.391776,4.585332,1.694358,-1.857281
1954-07-30,30.879999,5.154896,,14.080423,top,-1.632423,-0.714983,3.437639,1.068653,-2.461135
1954-08-02,30.99,5.369649,,14.297797,top,-2.847513,-2.086803,3.01946,0.709904,-2.807354
1954-08-03,30.93,5.046552,,13.969139,top,-1.827129,-3.6212,3.463413,0.905266,-3.556419
1954-08-04,30.9,4.820375,,13.742986,top,-0.584229,-2.822631,3.122266,1.003235,-3.462782
1954-08-17,31.120001,4.569409,,13.387485,top,-0.806586,0.544786,7.279883,0.546273,-4.145247
1954-09-23,32.18,5.032335,,13.735474,top,0.403167,-0.155494,9.338736,1.802356,-1.460538
1954-09-24,32.400002,5.540074,,14.282137,top,-0.340086,-0.836826,8.798825,1.111101,-2.129637
1954-09-27,32.529999,5.76015,,14.544695,top,-0.184608,-1.767761,8.285277,0.707038,-2.520749
1954-09-28,32.689999,6.082694,,14.894473,top,-0.183704,-2.321002,7.879479,0.214132,-2.997857
1954-09-29,32.5,5.360095,,14.173019,top,0.796812,-1.487937,7.610597,0.799995,-2.430772
1954-09-30,32.310001,4.645619,,13.452056,top,1.169236,-1.339799,9.218211,1.392748,-1.857017
1954-10-04,32.470001,4.887028,,13.68331,top,-0.184961,-2.116482,9.595393,0.893123,-2.433018
1954-10-05,32.630001,5.243381,,14.040055,top,-1.078434,-0.583996,9.773107,0.398398,-2.911433
1954-10-06,32.759998,5.49361,,14.300042,top,-1.507019,0.182987,11.493002,0.183154,-3.296697
1954-10-07,32.689999,5.140059,,13.946598,top,-2.509035,0.061163,10.804885,0.397678,-3.089625
1954-10-08,32.669998,4.945838,,13.745173,top,-2.982511,1.065628,8.363876,1.071326,-3.030297
1954-11-11,33.470001,5.211137,,13.359119,top,-0.08968,3.204743,9.918667,4.332229,-0.08964
1954-11-12,33.540001,5.291616,,13.439729,top,-0.268697,3.082584,8.347696,4.114482,-0.298158
1954-11-23,34.029999,5.748859,,13.999864,top,-0.117604,3.777302,7.934176,5.553921,-0.117535
1954-11-24,34.220001,6.105091,,14.420689,top,-0.116962,3.305367,7.513019,4.967846,-0.67212
1954-11-26,34.549999,6.820755,top,15.238569,top,-0.173805,1.493853,6.444805,3.965265,-1.620832
1954-11-29,34.540001,6.559682,top,15.066807,top,0.634915,2.544083,6.392307,3.99536,-1.592354
1954-11-30,34.240002,5.482988,,14.057891,top,1.966508,4.287596,6.719991,4.906532,-0.73014
1954-12-02,34.18,4.947794,,13.608586,top,1.481073,5.132253,7.276957,5.266235,0.497362
1954-12-03,34.490002,5.655659,,14.366922,top,0.202751,6.346875,6.56433,6.552619,-0.405924
1954-12-06,34.759998,6.229575,,14.997853,top,-0.490262,4.665077,6.649656,5.724976,-1.179516
1954-12-07,34.919998,6.480833,top,15.306802,top,-1.64577,1.703625,6.566554,5.240555,-1.632302
1954-12-08,34.860001,6.118597,,14.984272,top,-0.864307,0.515023,7.353408,5.421685,-1.463001
1954-12-09,34.689999,5.456563,,14.347895,top,0.689465,1.828109,7.200554,5.938315,-0.98011
1954-12-10,34.560001,4.91534,,13.828644,top,3.859721,3.497157,5.680471,6.336801,-0.607647
1954-12-13,34.59,4.84368,,13.775291,top,2.116789,3.102569,4.604686,6.244579,-0.693847
1954-12-15,34.560001,4.472584,,13.417813,top,2.231849,2.486194,3.58094,6.336801,1.070599
1954-12-16,34.93,5.379264,,14.34037,top,1.251791,0.997013,0.085846,5.21042,0.314917
1954-12-17,35.919998,7.976894,top,16.978186,top,-2.394814,-3.801866,-0.586346,2.310696,-3.730502
