date,close,ma60,ma200,deviation60Pct,deviation200Pct,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
1990-12-19,99.98,,,,,22.550124,29.473357,22.102088,34.766953,4.410882
1990-12-20,104.39,,,,,18.241735,25.149536,17.39203,29.073666,4.540665
1990-12-21,109.13,,,,,14.730714,20.708941,12.499603,23.467424,4.966554
1990-12-24,114.55,,,,,10.796733,15.473665,7.214808,17.625491,4.975993
1990-12-25,120.25,,,,,6.899842,10.20536,1.951723,12.049896,4.174636
1990-12-26,125.27,,,,,3.813939,5.694108,-2.546724,7.559671,0.007983
1990-12-27,125.28,,,,,4.799924,5.262941,-2.96498,7.551086,0.933908
1990-12-28,126.45,,,,,4.340939,3.885565,-4.306518,6.555951,0.917359
1990-12-31,127.61,,,,,3.896148,2.583683,-5.641654,5.587336,0.963874
1991-01-02,128.84,,,,,3.433093,1.234203,-6.94975,4.579323,1.009003
1991-01-03,130.14,,,,,2.90051,-0.130714,-7.505415,3.534655,-0.130629
1991-01-04,131.44,,,,,2.375694,-1.479238,-8.10259,2.510651,-1.468351
1991-01-07,132.06,,,,,1.957098,-2.305644,-8.16152,2.029381,-2.279267
1991-01-08,132.68,,,,,1.540678,-3.138894,-8.621689,1.552608,-3.090142
1991-01-09,133.34,,,,,0.672699,-3.200517,-9.265883,1.049948,-3.569822
1991-01-10,133.97,,,,,0.208784,-3.169813,-10.108182,0.574756,-4.023289
1991-01-11,134.6,,,,,-0.267817,-3.185415,-10.966231,0.104012,-4.472511
1991-01-14,134.67,,,,,-0.31981,-2.785905,-11.400315,0.051979,-4.522165
1991-01-15,134.74,,,,,-0.759893,-2.548148,-11.885976,-0.363663,-4.571768
1991-01-16,134.24,,,,,-0.800274,-1.743356,-11.87426,0.007449,-4.216329
1991-01-17,134.25,,,,,-1.229124,-1.28947,-12.251488,-0.007449,-4.223464
1991-01-18,134.24,,,,,-1.64486,-0.830315,-12.606741,0,-4.216329
1991-01-21,134.24,,,,,-2.092662,-0.425517,-12.979244,-0.387366,-4.216329
1991-01-22,133.72,,,,,-2.093249,0.417911,-12.973535,0.418786,-3.843853
1991-01-23,133.17,,,,,-2.071316,1.268484,-12.876905,1.276564,-3.446722
1991-01-24,132.61,,,,,-2.010884,1.340794,-12.840596,1.704246,-3.038987
1991-01-25,132.05,,,,,-1.942254,1.413664,-12.795386,2.135555,-2.627793
1991-01-28,131.46,,,,,-1.85027,1.517411,-12.692442,2.593945,-2.19078
1991-01-29,130.95,,,,,-1.826429,1.560874,-12.67579,2.993509,-1.809851
1991-01-30,130.44,,,,,-1.001626,1.589568,-12.112348,3.396197,-1.425943
1991-01-31,129.97,,,,,-0.138589,1.542251,-12.454781,3.770101,-1.069478
1991-02-01,129.51,,,,,0.669517,1.494452,-12.80861,4.138677,-0.718091
1991-02-04,129.05,,,,,1.476836,1.453928,-13.139718,4.50988,-0.3642
1991-02-05,128.58,,,,,2.131424,1.413205,-13.439838,4.891896,0.435527
1991-02-06,129.14,,,,,2.129859,0.579085,-14.588644,4.437045,0.50333
1991-02-07,129.79,,,,,2.089128,-0.370514,-15.80105,3.914015,-0.369828
1991-02-08,130.38,,,,,2.087283,-1.24254,-16.970021,3.44378,-1.234852
1991-02-11,130.97,,,,,2.040579,-3.749661,-18.096339,2.977781,-3.680232
1991-02-12,131.35,,,,,2.206166,-4.452444,-19.083888,2.679863,-4.354777
1991-02-13,131.92,,,,,2.211567,-5.252286,-20.154703,2.236204,-5.116737
