date,close,ma60,ma200,deviation60Pct,deviation200Pct,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
1927-12-30,17.66,,,,,-0.910131,-0.967291,6.733046,0.566254,-2.265004
1928-01-03,17.76,,,,,-2.220412,-1.075587,6.485522,-0.22523,-2.815315
1928-01-04,17.719999,,,,,-2.110138,-1.078017,8.437442,-0.056435,-2.595932
1928-01-05,17.549999,,,,,-0.456882,0.454804,7.463697,0.91168,-1.652416
1928-01-06,17.66,,,,,-0.45403,-1.4832,7.418889,0.283121,-2.265004
1928-01-09,17.5,,,,,-1.207253,-0.286119,8.171163,1.199995,-1.371427
1928-01-10,17.370001,,,,,-0.403817,0.402182,10.172691,1.957388,-0.633279
1928-01-11,17.35,,,,,-0.520083,0.803675,10.495698,2.07492,-0.518733
1928-01-12,17.469999,,,,,-0.516501,0.456882,8.920327,1.373782,-1.202055
1928-01-13,17.58,,,,,-0.570454,-0.227785,10.057094,0.739472,-1.820249
1928-01-16,17.290001,,,,,2.004066,0.86381,11.566004,2.429139,-0.173515
1928-01-17,17.299999,,,,,2.342294,0.576373,13.143384,2.369941,-0.231208
1928-01-18,17.26,,,,,1.495141,0.520083,13.121121,2.607178,0.521438
1928-01-19,17.379999,,,,,1.428188,-1.97565,11.611953,1.898734,-1.956262
1928-01-20,17.48,,,,,1.194219,-3.078947,11.038226,1.315787,-3.03203
1928-01-23,17.639999,,,,,-0.853974,-3.050589,10.688995,0.396824,-3.911557
1928-01-24,17.709999,,,,,-0.793652,-3.329814,8.80461,-0.112922,-4.291352
1928-01-25,17.52,,,,,0.057063,-1.959718,8.895958,0.97032,-3.253423
1928-01-26,17.629999,,,,,0,-2.993883,8.790911,0.340337,-3.857053
1928-01-27,17.690001,,,,,-1.652935,-3.041845,8.865875,-0.339182,-4.183153
1928-01-30,17.49,,,,,-0.228958,-1.323758,10.724551,0.800454,-3.087473
1928-01-31,17.57,,,,,-0.742644,-1.548643,11.341002,0.341488,-3.528736
1928-02-01,17.530001,,,,,-0.228446,-1.320728,11.923975,0.570442,-3.308613
1928-02-02,17.629999,,,,,-0.454804,-0.340906,11.506941,-0.340326,-3.857053
1928-02-03,17.4,,,,,0.801385,1.539811,13.072575,1.551727,-2.5862
1928-02-06,17.450001,,,,,-0.057324,0.74222,13.288646,1.260741,-2.865329
1928-02-07,17.440001,,,,,-0.229626,1.140257,14.889438,1.318805,-2.809632
1928-02-08,17.49,,,,,-0.803675,2.484603,15.439569,2.515726,-3.087473
1928-02-09,17.549999,,,,,-2.949033,2.531785,14.408808,2.564107,-3.418795
1928-02-10,17.540001,,,,,-3.421616,2.143337,14.317679,2.622572,-3.363741
1928-02-14,17.440001,,,,,-1.910333,2.770886,14.741104,3.211006,-2.809632
1928-02-15,17.4,,,,,-1.563892,3.77829,15.710204,3.850575,-2.5862
1928-02-16,17.35,,,,,-0.984659,5.112036,16.390126,5.244956,-2.305473
1928-02-17,17.040001,,,,,0.409955,7.461084,17.948098,7.746477,-0.52817
1928-02-20,16.950001,,,,,1.231321,8.53383,16.796124,8.908544,0.943952
1928-02-21,17.110001,,,,,0.872858,8.6183,16.205126,9.000578,0
1928-02-23,17.129999,,,,,0.987519,8.233034,15.089299,8.873325,-0.116746
1928-02-24,17.18,,,,,0.696052,8.904658,13.331303,9.313157,-0.407449
1928-02-27,17.110001,,,,,2.652976,10.740394,12.354599,11.33839,0.292222
1928-02-28,17.16,,,,,2.928721,9.869503,14.057241,11.013983,0.582753
1928-02-29,17.26,,,,,1.837019,9.024095,14.08194,10.370794,0.231744
1928-03-01,17.299999,,,,,1.946256,9.109751,14.001326,10.115607,0
1928-03-02,17.299999,,,,,3.576885,10.836187,12.329131,11.445096,1.560696
1928-03-05,17.57,,,,,2.417887,7.349799,12.049863,9.732504,0.056917
