date,close,ma60,ma200,deviation60Pct,deviation200Pct,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
1971-02-05,100,,,,,2.029273,4.142984,11.127297,4.230003,-0.32
1971-02-08,100.839996,,,,,1.329878,3.479043,10.210258,3.540269,-1.150333
1971-02-09,100.760002,,,,,0.967905,3.299467,9.73291,3.622471,-1.071856
1971-02-10,100.690002,,,,,0.722378,3.484129,9.441596,3.694509,-1.003081
1971-02-11,101.449997,,,,,-0.742027,2.962104,8.227705,3.00641,-1.744699
1971-02-12,102.050003,,,,,-2.349786,2.973473,7.801297,3.018123,-2.322394
1971-02-16,102.190002,,,,,-2.446758,3.244564,7.700453,3.297774,-2.456211
1971-02-17,101.739998,,,,,-1.087073,3.629043,8.304742,3.754669,-2.024767
1971-02-18,101.419998,,,,,-0.18751,4.303606,8.79148,4.397554,-1.715636
1971-02-19,100.699997,,,,,0.633539,4.912112,8.057733,5.143993,-1.012906
1971-02-22,99.68,,,,,2.084855,5.551293,8.386304,6.219901,0.040129
1971-02-23,99.720001,,,,,2.103665,5.264116,8.281587,6.177292,0.922581
1971-02-24,100.639999,,,,,1.410906,3.95493,7.722599,5.206675,0.586252
1971-02-25,101.230003,,,,,1.519558,3.274835,7.257558,4.593494,0.108657
1971-02-26,101.339996,,,,,1.624782,3.614563,6.753139,4.479969,0.434184
1971-03-01,101.779999,,,,,2.378642,3.304966,5.467724,4.028295,0.058948
1971-03-02,101.839996,,,,,2.492257,3.473918,5.436695,3.967008,0.225848
1971-03-03,102.07,,,,,2.007729,3.74972,5.276178,3.820909,0.6956
1971-03-04,102.779999,,,,,1.429703,3.40507,5.18526,3.463707,0.214051
1971-03-05,103,,,,,1.445808,3.679058,5.542555,3.747573,1.106796
1971-03-08,104.230003,,,,,0.859763,2.781631,4.987229,2.82068,-0.086351
1971-03-09,104.410004,,,,,1.0954,2.972332,5.415289,3.016946,-0.2586
1971-03-10,104.139999,,,,,1.297481,3.695046,6.072633,3.764162,0.115232
1971-03-11,104.260002,,,,,1.541855,3.875574,6.047792,3.951655,0.230192
1971-03-12,104.5,,,,,1.207982,4.096746,5.147507,4.181821,0.095692
1971-03-15,105.129997,,,,,0.228034,3.477312,4.337181,3.557506,-0.504137
1971-03-16,105.559998,,,,,-0.427206,3.280209,4.174616,3.334601,-0.909435
1971-03-17,105.5,,,,,-0.761186,3.894727,4.358592,3.971566,-0.853082
1971-03-18,105.879997,,,,,-1.216281,3.78103,3.425726,3.853421,-1.208915
1971-03-19,105.769997,,,,,-0.66401,4.066699,3.33783,4.150522,-1.106172
1971-03-22,105.370003,,,,,-0.161472,3.872048,3.789848,4.545887,-0.730762
1971-03-23,105.110001,,,,,0.313467,4.109972,4.036905,4.804493,-0.485208
1971-03-24,104.699997,,,,,1.205696,4.929034,3.251256,5.214906,-0.09551
1971-03-25,104.599998,,,,,1.649794,5.658999,1.800145,5.822184,0.449332
1971-03-26,105.07,,,,,1.689278,5.607387,0.398935,5.767581,0.123724
1971-03-29,105.199997,,,,,1.855307,5.986393,0.748146,6.169207,0.228142
1971-03-30,105.440002,,,,,1.990671,6.365493,0.878151,6.572458,0.502654
1971-03-31,105.970001,,,,,1.953056,5.944155,0.555214,6.124373,0.349151
1971-04-01,106.339996,,,,,1.900207,5.453242,0.103389,5.755128,0.489002
1971-04-02,106.860001,,,,,1.863496,4.115881,0.336324,5.2405,0.290097
1971-04-05,107.169998,,,,,1.555443,4.202682,0.586135,4.936084,0.363907
1971-04-06,107.559998,,,,,1.403277,3.758883,0.842484,4.555598,0.464857
1971-04-07,108.059998,,,,,1.497162,2.738397,0.654892,4.071813,0.296132
1971-04-08,108.379997,,,,,1.447311,2.081893,0.781224,3.764534,0.43366
1971-04-12,108.870003,,,,,1.177935,1.168855,1.041676,3.297507,-0.018374
1971-04-13,108.849998,,,,,0.62277,1.350512,1.432049,3.316491,0.211303
1971-04-14,109.080002,,,,,0.402558,1.175681,1.663752,3.098641,0.403369
1971-04-15,109.690002,,,,,0.273121,0.780971,1.403178,2.525295,-0.154988
1971-04-16,109.959999,,,,,0.661687,0.706844,0.724906,2.273554,-0.400148
1971-04-19,110.160004,,,,,0.876677,-0.921079,0.163259,2.087868,-0.91685
1971-04-20,109.529999,,,,,1.952873,-1.037037,1.080603,2.675067,-1.031678
1971-04-21,109.519997,,,,,2.568987,-1.092501,0.419141,2.684444,-1.086555
1971-04-22,109.989998,,,,,2.220816,-1.161365,-0.565278,2.24566,-1.509225
1971-04-23,110.690002,,,,,1.444037,-1.676275,-0.816406,1.599057,-2.132081
