date,close,ma60,ma200,deviation60Pct,deviation200Pct,forwardReturn5Pct,forwardReturn20Pct,forwardReturn60Pct,maxForwardGain20Pct,maxForwardDrawdown20Pct
2005-01-04,982.79,,,,,1.449572,-2.768986,0.197203,1.560862,-2.839874
2005-01-05,992.56,,,,,0.421252,1.435405,1.091188,1.445756,-3.796244
2005-01-06,983.17,,,,,1.384836,1.017015,1.238271,2.414638,-2.877427
2005-01-07,983.96,,,,,0.441117,3.288948,-0.536009,3.343632,-2.955405
2005-01-10,993.88,,,,,-2.695273,2.944509,0.70384,2.988288,-3.924015
2005-01-11,997.14,,,,,-2.277171,2.326459,-1.025154,2.651584,-4.238121
2005-01-12,996.75,,,,,-3.008435,0.928706,-2.300655,2.691748,-4.200652
2005-01-13,996.88,,,,,-4.162147,2.843194,-3.377772,2.883998,-4.213145
2005-01-14,988.31,,,,,-0.579429,5.743944,-2.294646,5.912113,-3.382542
2005-01-17,967.45,,,,,3.121978,7.609355,-1.728639,8.195772,-1.299292
2005-01-18,974.69,,,,,2.341334,7.009279,-3.201449,7.392094,-2.032441
2005-01-19,967.21,,,,,2.32186,7.903932,-2.949367,8.224688,-1.274801
2005-01-20,956.24,,,,,1.904898,8.395745,-2.774908,9.466243,-0.142224
2005-01-21,982.6,,,,,-1.372081,5.285273,-4.743346,6.529615,-2.821087
2005-01-24,998.13,,,,,-4.429785,2.296766,-7.436156,4.872111,-4.333103
2005-01-25,997.78,,,,,-4.28272,2.955549,-5.745323,4.908898,-4.299545
2005-01-26,989.93,,,,,1.700728,3.351525,-5.987233,5.74081,-3.540654
2005-01-27,974.63,,,,,1.889428,5.512995,-6.952582,7.400757,-2.02641
2005-01-28,969.21,,,,,4.799342,7.910177,-5.965781,8.231446,-1.478524
2005-01-31,954.88,,,,,6.947589,9.165909,-5.713747,9.855689,0.112056
2005-02-01,955.95,,,,,6.545016,6.721225,-7.619184,9.732727,3.898739
2005-02-02,1006.91,,,,,-0.085446,2.01743,-12.618792,4.179122,-1.359605
2005-02-03,993.22,,,,,3.211015,3.736139,-12.641978,5.61507,1.291758
2005-02-04,1016.86,,,,,2.896112,-0.329003,-14.28951,3.159727,-1.063077
2005-02-16,1023.58,,,,,1.969573,-2.024099,-14.750989,2.482464,-2.003752
2005-02-17,1020.61,,,,,2.405649,-2.75661,-14.350641,2.78069,-2.718962
2005-02-18,1006.05,,,,,3.966791,-2.760276,-13.073369,4.268178,-2.722529
2005-02-21,1025.63,,,,,1.390404,-4.358305,-17.225375,2.277624,-4.579624
2005-02-22,1046.74,,,,,-1.0381,-8.232381,-18.671432,0.214953,-7.902631
2005-02-23,1043.94,,,,,-2.190611,-8.485579,-18.404728,0.483744,-8.135525
2005-02-24,1045.46,,,,,-1.712395,-8.029143,-19.838935,0.33765,-8.269087
2005-02-25,1046.76,,,,,-2.230547,-8.344308,-20.879525,0.213038,-8.38301
2005-02-28,1039.99,,,,,-0.977852,-7.930419,-19.515171,0.865393,-7.786613
2005-03-01,1035.93,,,,,1.252822,-8.114458,-19.084289,1.260703,-7.793963
2005-03-02,1021.32,,,,,2.439358,-8.613589,-19.83941,2.709239,-8.253045
2005-03-03,1027.71,,,,,-0.517044,-8.687074,-22.776153,2.070623,-8.823501
2005-03-04,1023.67,,,,,0.366633,-4.548646,-22.425048,2.473453,-8.463665
2005-03-07,1029.87,,,,,0.112572,-6.799671,-20.497715,1.856545,-9.01473
2005-03-08,1048.99,,,,,-3.439838,-9.324366,-22.542453,-0.233558,-10.673124
2005-03-09,1046.54,,,,,-4.242419,-7.217233,-14.445935,-1.482026,-10.464005
2005-03-10,1022.41,,,,,-2.93282,-3.755037,-11.36202,0.843106,-8.350857
2005-03-11,1027.43,,,,,-4.863153,-2.361648,-13.848384,0.350389,-8.798653
2005-03-14,1031.03,,,,,-4.88343,-3.514882,-14.377179,-1.698302,-9.117096
2005-03-15,1013.52,,,,,-5.007266,-3.495954,-13.724813,-0.993567,-7.546965
2005-03-16,1003.07,,,,,-4.491907,-0.21657,-14.59777,0.037884,-6.583788
2005-03-17,992.86,,,,,-2.866884,-0.595002,-12.153177,1.066616,-5.623149
2005-03-18,978.66,,,,,-1.617241,-0.469085,-10.587609,2.533055,-4.253776
2005-03-21,981.89,,,,,-2.18171,-1.862661,-8.015305,2.195765,-4.56874
2005-03-22,964.02,,,,,-0.920177,0.193791,-7.298191,4.090164,-2.799734
2005-03-23,959.01,,,,,-2.31862,-0.852415,-6.278478,4.633945,-2.291947
2005-03-24,964.8,,,,,-2.370326,-2.181585,-7.669615,4.006012,-2.878317
2005-03-25,962.96,,,,,1.565116,-2.50899,-6.950779,4.204744,-2.692739
2005-03-28,960.7,,,,,0.152896,-3.240233,-4.760215,4.44988,-3.1883
2005-03-29,955.19,,,,,0.042914,-1.914162,-5.53907,5.052398,-2.629843
2005-03-30,937.03,,,,,3.835714,-1.119333,-4.154351,7.088354,-1.113091
2005-03-31,942.2,,,,,4.414993,-0.013798,-6.97854,6.500743,-1.655699
2005-04-01,978.15,,,,,2.553631,-4.790113,-12.932384,2.586515,-5.270153
2005-04-04,962.17,,,,,3.397361,-5.665905,-11.700255,4.290302,-5.508382
2005-04-05,955.6,,,,,2.388574,-4.551592,-11.747961,5.007325,-4.858728
2005-04-06,973.67,995.338167,,-2.201011,,2.758244,-7.662423,-14.462756,3.058531,-7.376216
2005-04-07,984.73,995.3705,,-1.074754,,0.227215,-10.585372,-15.335044,1.901029,-10.044378
2005-04-08,1003.45,995.552,,0.790198,,-2.970591,-12.274575,-19.038829,-0.254123,-11.722557
2005-04-11,995.42,995.756167,,-0.033766,,-3.231208,-12.863235,-18.887288,0.550521,-12.070282
2005-04-12,978.7,995.6685,,-1.718921,,-1.31752,-10.464554,-13.884992,2.268315,-10.568101
2005-04-13,1000.9,995.7855,,0.5123,,-5.127752,-12.51032,-16.786368,-1.391747,-12.551703
2005-04-14,986.97,995.616,,-0.8722,,-4.453466,-10.999029,-14.988576,-1.306017,-11.317467
2005-04-15,974.08,995.238167,,-2.148864,,-3.657147,-9.844007,-14.690178,-0.840793,-10.143931
2005-04-18,963.77,994.686333,,-3.157477,,-3.559282,-11.004409,-14.583104,0.219969,-10.420536
2005-04-19,965.89,994.312667,,-2.900176,,-3.02813,-10.632843,-14.488796,-1.555042,-10.617151
2005-04-20,950.87,994.036333,,-4.43964,,-2.585538,-9.066734,-12.083753,-0.7246,-9.205254
2005-04-21,943.98,993.5245,,-5.115374,,-0.20254,-9.628207,-11.196433,-0.202335,-9.17922
2005-04-22,939.1,993.056,,-5.586509,,-0.716006,-10.026226,-8.835011,0.31626,-9.539985
2005-04-25,930.07,992.619833,,-6.508789,,-2.272776,-8.344519,-8.198531,1.290225,-8.661714
2005-04-26,937.08,991.861167,,-5.681449,,-2.594516,-9.055669,-6.685477,0.532505,-9.344987
2005-04-27,926.6,990.669,,-6.68585,,-2.707376,-10.106489,-3.580501,1.669545,-9.612562
2005-04-28,942.07,989.7405,,-4.936321,,-6.156581,-14.075281,-5.585862,-1.026463,-13.129598
2005-04-29,932.4,988.781667,,-5.871164,,-4.930832,-13.08629,-4.861,-2.072072,-12.266195
2005-05-09,909.17,987.690667,,-8.283746,,-3.799969,-8.032139,-1.950328,0.430063,-10.024528
2005-05-10,913.08,986.755167,,-7.759845,,-3.524388,-8.666496,-1.043672,-1.229903,-10.409822
2005-05-11,901.85,985.871333,,-8.907764,,-2.089653,0.43372,0.852375,0.434662,-9.294229
2005-05-12,885.82,984.7025,,-10.58258,,-0.186442,2.97839,2.048151,3.023188,-7.652796
2005-05-13,887.54,982.713,,-10.186352,,-0.540023,0.787839,4.004201,2.823535,-7.83176
2005-05-16,875.27,980.747167,,-11.378229,,-1.372382,2.000938,5.792804,4.26497,-6.539696
2005-05-17,881.46,978.4905,,-10.443145,,-1.48581,0.235694,5.692204,3.532775,-7.196016
2005-05-18,883.2,976.150833,,-10.006544,,-1.684166,-1.87088,6.272174,3.328804,-7.37885
2005-05-19,884.17,973.876833,,-9.663549,,-3.082644,-0.559145,7.600384,3.215445,-7.480462
2005-05-20,882.76,971.822,,-9.61193,,-3.839365,-0.274517,6.103768,3.380307,-7.332684
2005-05-23,863.34,969.117167,,-11.557693,,-0.899392,4.851765,10.037906,5.705747,-5.248222
2005-05-24,868.46,966.145833,,-10.659326,,-1.450956,3.14086,8.452689,5.08256,-5.80683
2005-05-25,868.45,963.221,,-10.357286,,-3.625293,3.640671,9.291538,5.08377,-5.805746
2005-05-26,857.33,960.0855,,-11.319943,,-4.649613,4.140177,7.127876,6.446759,-4.583999
2005-05-27,849.51,956.798,,-11.893258,,-3.77607,5.584438,8.301286,7.426634,-3.705666
2005-05-30,855.61,953.725,,-10.856071,,-1.960396,6.824537,8.516401,7.062797,-4.392188
2005-05-31,855.95,950.725333,,-10.501324,,-2.205342,5.430761,7.586138,7.02027,-4.430165
2005-06-01,837.53,947.662167,,-12.354099,,7.832833,7.071471,10.542618,9.373993,-2.328275
2005-06-02,818.38,944.173333,,-14.298299,,10.897089,7.110539,12.798683,11.933332,-0.042767
2005-06-03,818.03,940.746,,-13.977417,,8.943297,4.944018,12.641286,11.981223,2.353214
2005-06-06,839,937.564833,,-11.10752,,6.233108,1.997789,8.930017,9.18236,-0.205006
2005-06-07,837.28,934.036333,,-10.93568,,5.377802,1.470127,8.863437,9.40665,1.480986
2005-06-08,905.77,931.690167,,-2.821491,,-4.394253,-7.234053,2.416011,1.133842,-6.978593
2005-06-09,912.6,929.86,,-1.873637,,-3.723977,-7.728062,3.442154,0.376945,-7.674775
2005-06-10,894.56,927.6455,,-3.631768,,-1.602378,-7.552092,5.788538,2.40118,-7.273967
2005-06-13,892.96,925.344333,,-3.562413,,1.478445,-8.024991,6.477926,2.584662,-7.711432
